mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_304564	30901	8502	275.13672696676485	110.74433691084297	bin_24	3573314	1711105	478.8566020226602	136369	0.0214684947974487	1381	0.012616007879390226	0.5876521851401293	0.2312682678761572	0.05455140039422107	2.540997909210846
k141_304565	30044	9661	321.561709492744	134.4103761113726	bin_24	3573314	1711105	478.8566020226602	136369	0.0214684947974487	1445	0.013573937544226825	0.6322724379279698	0.28069024326621295	0.048359135630350346	2.2525629340393865
k141_306349	9343	207	22.15562453173499	2.1540190516964572	bin_111	1048944	16468	15.699598834637502	99	0.00018095299442703872	7	0.0007206842028637683	3.9827149870921437	0.13720217149396943	0.005252717176531314	29.02807545773574
k141_306593	5023	1395	277.722476607605	30.276609159106332	bin_1	7557399	1737186	229.8655926463589	70493	0.002471677401291282	81	0.0021337792569079738	0.8632919715951687	0.13171440236245344	0.016200045087219936	6.5542716370496095
k141_306952	5713	963	168.56292665849816	80.40410787342405	bin_106	1212342	193781	159.84021010572926	16132	0.022027079050895227	197	0.028577763853421107	1.2973923499974749	0.5030280416938846	0.05681147269084449	2.5791650613128185
k141_307037	5389	11076	2055.297828910744	1134.2499683956457	bin_69	2432999	8557150	3517.1202289848866	1102647	0.37874411260686486	3075	0.2350487893906122	0.6206005098608413	0.32249394235892065	0.7288471456899922	1.9243788125798094
k141_307889	5309	9627	1813.3358447918629	1061.4457219730532	bin_37	3018073	6210642	2057.8170243065692	815659	0.1796980912181158	2702	0.16893028163224533	0.94007833075533	0.515811517465083	0.32750389611779224	1.822522954460719
k141_308798	12426	643	51.7463383228714	34.80695402883727	bin_90	1724584	117610	68.19615629044453	15693	0.010592937636719963	150	0.006999637629319901	0.6607834265969771	0.510394660376399	0.013714167041163601	1.2946519191828365
k141_309062	5559	187	33.63914373088685	1.703247783842372	bin_111	1048944	16468	15.699598834637502	99	0.00018095299442703872	4	0.0006859793054696057	3.7909254148662157	0.10848989211651404	0.0063229789622510635	34.94266001108108
k141_309365	5289	1537	290.60313858952543	77.60664368718821	bin_8	4350483	1076343	247.40770162761237	57141	0.006052791498128601	184	0.008006359463157073	1.3227548752724219	0.31367917480595836	0.02552403891048808	4.21690370771562
k141_309505	7003	26147	3733.6855633300015	2071.0410488752914	bin_2	6390104	23722563	3712.3907529517514	2474739	0.12148601755173696	6557	0.1466862280121453	1.207433011372493	0.5578725911943914	0.26293858190468494	2.164352632538209
k141_309627	7346	15663	2132.1807786550503	656.1246052359226	bin_12	4155744	3097876	745.4443777095028	596896	0.06927937197819137	2195	0.07202830325182895	1.0396789288809218	0.8801791587079515	0.08183368413035595	1.1812128458109665
k141_309745	18574	13423	722.6768601270593	289.5460973734068	bin_81	2095202	1793281	855.8988584394249	133268	0.06207646500228521	2071	0.0536927876159335	0.8649459600181311	0.33829475821634014	0.1587159904546817	2.5567820340420306
k141_310371	5974	1509	252.5945764981587	73.4887729870374	bin_8	4350483	1076343	247.40770162761237	57141	0.006052791498128601	199	0.007667382987517062	1.26675154594168	0.29703510644001535	0.025813053141802447	4.264652623468579
k141_311642	5084	893	175.64909520062943	66.43138856946882	bin_40	2997327	533989	178.15506950025807	46715	0.010559414372623964	177	0.011635119947002394	1.1018717076931155	0.37288519914597545	0.031202954618875952	2.9549891232388643
k141_312234	18921	1987	105.01559114211723	27.811332399925117	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	250	0.003841392996595649	1.343456802836658	0.2820428236420728	0.013619892706330933	4.7633078746282
k141_312236	10275	1042	101.41119221411192	23.370480510248015	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	112	0.0031611034350864306	1.1055379957481135	0.2370068509554806	0.013337603627669871	4.6645824426222084
k141_312237	8952	865	96.62645218945487	24.341014673679467	bin_27	3458515	341033	98.60677198161639	17018	0.002859334954785813	99	0.0032059078884032464	1.1212075322051223	0.2468493206350721	0.012987306913202639	4.542072586307221
k141_312298	7438	262	35.224522721161605	8.978799909315702	bin_77	2214443	105650	47.70951431127376	4184	0.0017109230335505964	26	0.0015838492996046916	0.9257279658675266	0.18819726083847413	0.008415899851826628	4.918923696036469
k141_312419	5429	683	125.80585743230797	47.86552824865589	bin_40	2997327	533989	178.15506950025807	46715	0.010559414372623964	113	0.006956836847917848	0.6588279048840004	0.2686733999931815	0.025893284739369065	2.4521515896278543
k141_312435	6861	456	66.46261477918671	52.36448437148044	bin_76	2316338	567254	244.89258476094594	100751	0.03801484052733176	182	0.011486040074179001	0.30214621223837074	0.2138263370554747	0.053716676029478466	1.4130448867951309
k141_312870	5348	684	127.89827973074047	50.43875820367229	bin_106	1212342	193781	159.84021010572926	16132	0.022027079050895227	112	0.017274340389892746	0.7842320059767833	0.3155573817771426	0.054742311184760924	2.485227889647769
k141_313187	14342	3425	238.80909217682333	100.14117922242828	bin_30	3242753	662387	204.26686830603504	66694	0.012727447078211792	707	0.015269361505671776	1.1997191119192714	0.49024680337486537	0.031146274489822864	2.4471737575041574
k141_315359	7185	7717	1074.0431454418929	760.8896588625404	bin_64	2536939	2270401	894.9371664040799	346199	0.10803941022976075	2906	0.15987867714967496	1.4798181220137248	0.8502157329322328	0.1880448349247593	1.7405207463170702
k141_315372	6654	14433	2169.0712353471595	1180.0848055535491	bin_69	2432999	8557150	3517.1202289848866	1102647	0.37874411260686486	3946	0.24441155352044763	0.6453210634435551	0.33552586454917577	0.728443256822682	1.923312422756532
k141_315938	5918	969	163.73774923960798	41.42762330158756	bin_120	643383	163834	254.64458961458416	7743	0.03767512465590476	84	0.022061485078417525	0.5855716545043963	0.16268801691129625	0.13560608517618292	3.599353324367292
k141_315962	5150	127	24.660194174757283	5.828773168578994	bin_101	1318123	51660	39.19209360583193	1759	0.0020348262561099275	13	0.001922561884105914	0.9448285220092282	0.148723189610663	0.012927115731843289	6.352933422707381
k141_317034	7302	434	59.435771021637905	9.68335595296348	bin_14	4030458	321418	79.74726445480886	18095	0.002233189131511316	29	0.00098537552147165	0.4412414101284806	0.12142555633931292	0.008115058733748815	3.633843018149085
k141_317516	5128	1217	237.3244929797192	202.3884001045321	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	336	0.027083252416743076	1.889378936496516	1.0348798846798744	0.026170430808132774	1.8256987738059753
k141_318188	5111	419	81.980043044414	22.6019744842076	bin_43	2908250	286192	98.40694575775811	21401	0.005087458294594789	59	0.0039693042934770386	0.7802136280299846	0.2296786503245959	0.017281990676396675	3.39697933145871
k141_318366	5937	2819	474.81893212059964	354.99434311846716	bin_13	4085890	3834265	938.4161100763848	697337	0.08365541770008586	951	0.03926072434059501	0.4693147846245792	0.37829097274296736	0.10378446003064155	1.2406185144245
k141_318667	15303	1525	99.65366268052016	31.19352876149246	bin_18	3664545	423892	115.67384218231732	12622	0.0019058307714934595	113	0.0020234813251536654	1.0617318995054381	0.26966795753466305	0.007503603111220834	3.937182263743602
k141_318668	7582	696	91.79635979952519	40.364356791280585	bin_18	3664545	423892	115.67384218231732	12622	0.0019058307714934595	62	0.0022360800303871274	1.1732836219424014	0.3489497368615197	0.006408028991506342	3.3623284330144596
k141_318669	18674	1671	89.48270322373354	26.4308340482914	bin_18	3664545	423892	115.67384218231732	12622	0.0019058307714934595	83	0.0012191003044764493	0.639668706535329	0.22849447679478735	0.005335360055863988	2.7994930796940896
