mobile_cluster_name	mobile_cluster_length (bp)	mobile_cluster_read_count (reads)	mobile_cluster_read_depth (reads/kbp)	mobile_cluster_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
vMAG_80	24155	628	25.99875802111364	11.374456634237218	bin_45	2083459	189168	90.79516323575362	21802	0.010107675168967753	7	0.00013909324516765185	0.013761151089885763	0.125276019436222	0.001110294258977986	0.10984665023533545
vMAG_67	54860	3613	65.85854903390448	58.931511694388625	bin_192	158273	9323	58.904550997327405	1545	0.1334926457089608	1140	0.13129319403561554	0.9835237989204253	1.0004577014272198	0.13123312844542756	0.983073844618681
vMAG_3	83252	13241	159.04723009657425	130.79927113156918	bin_14	3224948	742863	230.34883043075422	101285	0.019520005215134844	2681	0.009985720869984588	0.5115634324852616	0.5678312795726962	0.017585718204004248	0.9009074541829094
vMAG_24	13689	2169	158.44838921762	45.36770118624162	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	134	0.0018607628409687904	0.11149824781815598	0.14189858562924615	0.013113329020985507	0.7857601069363691
vMAG_24	13689	2169	158.44838921762	71.77576605584495	bin_1	6457248	3216132	498.0654297310557	550079	0.026411598096961104	212	0.0023983726940267863	0.09080755678705943	0.14410911051305503	0.01664275551690061	0.630130575810008
vMAG_34	13227	2825	213.5782868375293	29.194154315921274	bin_22	2855010	551889	193.3054525203064	4450	0.001093535291850599	19	0.0005031350974190977	0.4600995515815844	0.15102602609129445	0.0033314463105515012	3.046491809984172
vMAG_84	12577	1442	114.6537330046911	100.64367585449193	bin_20	2900191	1428423	492.5272163109257	227694	0.05424527900416885	352	0.009650259726389809	0.17790045333987808	0.20434134911025292	0.04722617213015945	0.8706042810938447
vMAG_71	13613	3615	265.5549842062734	74.30473325962498	bin_2	5260682	1681941	319.71919230244293	230585	0.01668871822993608	176	0.0024576315469321095	0.14726304998808304	0.2324062334967222	0.010574723018204979	0.6336450093115079
vMAG_71	13613	3615	265.5549842062734	17.309625361617183	bin_68	1550312	101527	65.48810820015584	766	0.0006391777005266911	41	0.0019427230971187136	3.039410003693626	0.26431707736483356	0.007349971921932222	11.499105672609893
vMAG_71	13613	3615	265.5549842062734	71.34943136861718	bin_4	4384505	579215	132.10499246779284	43799	0.004562433742891386	169	0.002831472124595937	0.6206056425493484	0.5400964038964094	0.005242530970709839	1.1490645708286933
